"","m1_name","m1_freq","m2_name","m2_freq","m3_name","m3_freq","m4_name","m4_freq","m5_name","m5_freq","m6_name","m6_freq"
"1","Y_L12","100%","Y_L12","99.42%","Y_L12","97.48%","Y_L12","92.83%","Y_L12","94.19%","Y_L12","82.95%"
"2","Y_L54","81.01%","Y_L54","70.74%","Y_L54","63.95%","Y_L54","62.21%","Y_L54","62.21%","Y_L54","57.75%"
"3","Y_L41","64.92%","F6_L58","48.26%","F8_L49","48.45%","Y_L24","54.84%","F8_L49","47.09%","CCV5_L45","48.84%"
"4","Y_L52","57.56%","F8_L57","47.67%","Y_L42","47.87%","F8_L49","48.84%","Y_L42","46.32%","CCV5_L44","43.99%"
"5","Y_L42","57.36%","F8_L51","47.09%","Y_L24","43.8%","F8_L12","44.77%","Y_L24","44.38%","F8_L49","42.25%"
"6","Y_L45","52.52%","Y_L24","46.9%","F2_L24","43.22%","F2_L24","43.99%","F7_L28","36.05%","CCV3_L50","38.76%"
"7","Y_L36","50.58%","Y_L41","46.9%","F8_L12","41.47%","Y_L42","43.99%","Y_L41","32.75%","CCV8_L31","37.98%"
"8","Y_L46","46.12%","Y_L45","46.9%","F4_L54","41.47%","F4_L54","40.31%","Y_L43","32.56%","CCV5_L57","35.85%"
"9","Y_L44","43.22%","F8_L49","46.9%","F8_L28","40.5%","F7_L28","37.21%","CC5_L31","32.17%","CCV5_L56","35.27%"
"10","Y_L43","39.73%","F4_L54","46.9%","Y_L45","40.12%","F8_L28","36.63%","F8_L12","31.98%","CCV6_L40","34.5%"
"11","Y_L13","39.15%","F7_L19","46.51%","F7_L19","38.76%","F8_L48","36.43%","Y_L36","31.78%","Y_L42","33.72%"
"12","Y_L55","37.02%","Y_L42","45.74%","Y_L36","38.57%","F6_L59","35.66%","F2_L24","31.59%","F2_L24","32.95%"
"13","Y_L24","36.05%","F2_L24","45.35%","F6_L59","38.18%","F6_L58","35.27%","CC6_L25","31.4%","Y_L46","31.78%"
"14","Y_L28","33.53%","F6_L59","45.35%","F6_L58","37.79%","F8_L41","34.3%","Y_L18","30.81%","CCV10_L22","31.4%"
"15","Y_L53","31.98%","F7_L28","42.83%","F7_L28","37.6%","Y_L46","33.14%","CC5_L23","30.04%","CC6_L25","31.2%"
